TITLE,DESCRIPTION,LATITUDE,LONGITUDE,Extracted Numbers
Headley School Parking,Permits:||IU Foundation Parking,39.18590997,-86.51465575,0
Lot 100,Permits:||Student Parking,39.18106219,-86.52754248,100
Lot 102,Permits:||Athletic Parking,39.18489312,-86.52478087,102
Lot 102,Permits:||Athletic Parking,39.18417174,-86.5272899,102
Lot 103,Permits:||Student Parking||Accessible Parking,39.18283817,-86.52458169,103
Lot 104,Permits:||Athletics Parking||Accessible Parking||Reserved Parking,39.18213132,-86.52621142,104
Lot 104,Permits:||Athletics Parking||Accessible Parking||Reserved Parking,39.18209036,-86.52499979,104
Lot 104,Permits:||Athletics Parking,39.1802879,-86.52442486,104
Lot 104,Permits:||Athletics Parking||Accessible Parking||Reserved Parking,39.18080536,-86.52374889,104
Lot 104,Permits:||Athletics Parking,39.18153792,-86.52444287,104
Lot 108,Permits:||EMS Parking,39.1787845,-86.52549279,108
Lot 110,Permits:||EMS Parking||Athletics Parking||Accessible Parking,39.17947672,-86.52020975,110
Lot 110,Permits:||EMS Parking||Student Parking Section E ONLY||Accessible Parking,39.17951051,-86.522228,110
Lot 111,Permits:||Accessible Parking,39.17969243,-86.51877087,111
Lot 112,Permits:||Athletics Parking||Accessible Parking,39.18133415,-86.52053335,112
Lot 114,Permits:||Athletics Parking||Accessible Parking,39.18222084,-86.52121027,114
Lot 115,Permits:||Student Parking,39.18684303,-86.51960788,115
Lot 116,Permits:||EMS Parking||Accessible Parking||Student Parking||Service Vehicle Parking,39.19062312,-86.522872,116
Lot 117,Permits:||Accessible Parking,39.18405698,-86.52172706,117
Lot 117,Permits:||Athletic Parking,39.18480254,-86.52345069,117
Lot 117,Permits:||Athletic Parking,39.18541716,-86.52021566,117
Lot 117,Permits:||Athletic Parking,39.18433022,-86.51977642,117
Lot 120,Permits:||Athletics Parking,39.18155316,-86.51668531,120
Lot 121,Permits:||Athletic Parking,39.18633226,-86.51333709,121
Lot 122,Permits:||IU Foundation Parking,39.18445655,-86.51167684,122
Lot 122,Permits:||IU Foundation Parking,39.18411104,-86.5124486,122
Lot 123,Permits:||EMS Parking (24 Hr)||Accessible Parking||Reserved Parking,39.179551,-86.513989,123
Lot 125,This is all of David Baker Ave Street Parking||Permits:||Student Parking,39.18281264,-86.51314328,125
Lot 126,Permits:||EMS Parking||Service Vehicle Parking,39.17770727,-86.50998314,126
Lot 127,Permits:||EMP Parking||EMS Parking||Student Parking||Accessible Parking||Accessible Metered Parking,39.17726915,-86.51265233,127
Lot 127,Permits:||EMP Parking||EMS Parking||Student Parking||Accessible Parking||Accessible Metered Parking,39.1751783,-86.5142733,127
Lot 127,Permits:||EMP Parking||EMS Parking||Student Parking||Accessible Parking||Accessible Metered Parking,39.17397338,-86.51524884,127
Lot 128,Permits:||Student Parking||Accessible Parking||Motorcycle Parking||Metered Parking,39.17796305,-86.50780363,128
Lot 130,Permits:||Student Parking Section||Athletics Parking,39.1791,-86.5048,130
Lot 132,Permits:||Student Parking||Accessible Parking||Motorcycle Parking,39.17656241,-86.50823344,132
Lot 133,Permits:||Student Parking,39.17698739,-86.51117842,133
Lot 133,Permits:||Student Parking,39.17671824,-86.51050761,133
Lot 133,Permits:||Student Parking,39.17705744,-86.51203248,133
Lot 134,Permits:||Student Parking,39.17614982,-86.50980086,134
Lot 134,Permits:||Student Parking,39.17577203,-86.51015747,134
Lot 136,Permits:||Student Parking||Accessible Parking||Metered Parking,39.17550085,-86.50914726,136
Lot 136,Permits:||Student Parking||Accessible Parking||Metered Parking,39.17525816,-86.50907961,136
Lot 138,Permits:||Student Parking||Accessible Metered Parking||Motorcycle Parking,39.17522138,-86.51039077,138
Lot 140,Permits:||Accessible Parking||Visitor Pay Lot,39.17384091,-86.51056657,140
Lot 142,Permits:||Accessible Parking||Motorcycle Parking||Service Vehicle Parking,39.17298115,-86.51177038,142
Lot 144,Permits:||EMS Parking,39.17334082,-86.51481171,144
Lot 146,Permits:||EMP Parking||Service Vehicle Parking||Patient Parking,39.17250911,-86.51494331,146
Lot 148,Permits:||EMS Parking||Campus Housing Parking - Zone 5||Accessible Parking||Motorcycle Parking,39.17208318,-86.51291399,148
Lot 150,Permits:||Campus Housing Parking - Zone 3||Accessible Parking||Accessible Metered Parking,39.17335891,-86.50936124,150
Lot 150,Permits:||Campus Housing Parking - Zone 3||Accessible Parking||Accessible Metered Parking,39.17381547,-86.50978219,150
Lot 152,Permits:||EMS Parking||Campus Housing Parking - Zone 3||Accessible Parking||Motorcycle Parking||Metered Parking||Service Vehicle Parking||Reserved Parking,39.17273673,-86.50895433,152
Lot 153,Permits:||EMP Parking||Accessible Parking,39.17176491,-86.50891787,153
Lot 154,Permits:||Visitor Parking,39.17541967,-86.50514562,154
Lot 154,Permits:||Visitor Parking,39.17451165,-86.50482346,154
Lot 156,Permits:||Campus Housing Parking - Zone 4||Accessible Parking||Motorcycle Parking||Metered Parking,39.17330602,-86.50438934,156
Lot 158,Permits:||EMP Parking||EMS Parking||Reserved Parking||Accessible Parking,39.1783,-86.5043,158
Lot 160,Permits:||EMP Parking||EMS Parking||Student Parking||Accessible Parking||Service Vehicle Parking||Reserved Parking,39.1751815,-86.50104766,160
Lot 162,Permits:||EMP Parking||EMS Parking||Accessible Parking||Reserved Parking,39.17505492,-86.49960588,162
Lot 164,Permits:||EMS Parking||Student Parking||Accessible Parking\,39.17381611,-86.50218347,164
Lot 166,Permits:||EMP Parking||EMS Parking||Accessible Parking||Service Vehicle Parking,39.17264923,-86.50088177,166
Lot 166,Permits:||EMP Parking||EMS Parking||Accessible Parking||Accessible Metered Parking||Motorcycle Parking||Metered Parking||Service Vehicle Parking||Electric Veh Parking,39.17269712,-86.50154204,166
Lot 168,Permits:||EMP Parking||EMS Parking||Student Parking||Accessible Parking||Metered Parking,39.17262563,-86.49894493,168
Lot 168,Permits:||EMP Parking||EMS Parking||Student Parking||Accessible Parking||Metered Parking,39.17229874,-86.49912543,168
Lot 169,Permits:||EMP Parking||EMS Parking||Student Parking||Accessible Parking||Metered Parking||Service Vehicle Parking,39.17302995,-86.49928917,169
Lot 169,Permits:||Metered Parking||Service Vehicle Parking,39.17259394,-86.49944185,169
Lot 170,Permits:||EMS Parking||Student Parking||Accessible Parking||Service Vehicle Parking,39.17310785,-86.49629727,170
Lot 172,Permits:||Visitor Parking,39.17403732,-86.49590863,172
Lot 172,Permits:||Motor Pool Vehicle Parking,39.17380227,-86.49629469,172
Lot 174,Permits:||EMS Parking||Student Parking||Accessible Parking,39.17513354,-86.49764035,174
Lot 178,Permits:||EMP Parking||EMS Parking||Student Parking||Accessible Parking||Motorcycle Parking||Service Vehicle Parking,39.17736978,-86.49343919,178
Lot 178,Permits:||EMP Parking||Accessible Parking||Service Vehicle Parking,39.17627811,-86.4942885,178
Lot 200,Permits:||Campus Housing Parking - Zone 7||Accessible Parking||Service Vehicle Parking,39.17213208,-86.52634458,200
Lot 201,Permits:||EMS Parking||Service Vehicle Parking||Accessible Parking,39.17191897,-86.52715704,201
Lot 202,Permits:||EMP Parking||EMS Parking||Campus Housing Parking - Zone 7,39.17281429,-86.52612582,202
Lot 204,Permits:||EMP Parking||EMS Parking||Accessible Parking,39.17388065,-86.52659733,204
Lot 207,Permits:||EMP Parking||EMS Parking||Accessible Parking||Service Vehicle Parking,39.17457,-86.524887,207
Lot 208,Permits:||EMS Parking||Service Vehicle Parking,39.17485071,-86.52258694,208
Lot 210,Permits:||EMS Parking,39.17498067,-86.52180075,210
Lot 212,Permits:||Service Vehicle Parking,39.17547659,-86.52345115,212
Lot 214,Permits:||EMS Parking||Accessible Parking||Visitor Parking,39.17815268,-86.5224005,214
Lot 214,Permits:||EMS Parking||Accessible Parking,39.17832674,-86.52254749,214
Lot 216,Permits:||CH6 Parking||EMS Parking,39.17838852,-86.52058182,216
Lot 218,Permits:||Accessible Metered Parking||Metered Parking,39.17807652,-86.51930389,218
Lot 222,Permits:||Accessible Parking||Accessible Metered Parking||Metered Parking,39.17641711,-86.51918574,222
Lot 226,Permits:||EMS Parking||Campus Housing Parking - Zone 6||Accessible Parking||Motorcycle Parking||Service Vehicle Parking||Reserved Parking,39.1748869,-86.52006581,226
Lot 226,Permits:||EMS Parking||Accessible Parking||Motorcycle Parking||Service Vehicle Parking,39.17437267,-86.52011289,226
Lot 227,Permits:||Student Parking||Accessible Parking,39.17856535,-86.51533959,227
Lot 228,Permits:||Service Vehicle Parking,39.17661876,-86.51851054,228
Lot 229,Permits:||Service Vehicle Parking,39.1766853,-86.51694212,229
Lot 230,Permits:||Campus Housing Parking - Zone 6||Accessible Parking||Motorcycle Parking,39.17597039,-86.51684924,230
Lot 231,Permits:||Campus Housing Parking - Zone 6||EMP Parking||EMS Parking||Accessible Parking||Motorcycle Parking||Service Vehicle Parking,39.17420724,-86.51730451,231
Lot 232,Permits:||EMS Parking||Accessible Parking||Accessible Metered Parking||Metered Parking||,39.1750924,-86.51853941,232
Lot 234,Permits:||EMP Parking (24 Hr),39.1742768,-86.52391381,234
Lot 235,Permits:||EMP Parking||Service Vehicle Parking,39.17412657,-86.52281311,235
Lot 238,Permits: ||EMP Parking||Electric Veh Parking||Visitor Pay Parking||Accessible Parking||Service Vehicle Parking,39.173833,-86.521811,238
Lot 242,Permits:||Accessible Parking||Service Vehicle Parking||Reserved Parking,39.17347462,-86.51991016,242
Lot 249,Permits:||EMP Parking||EMS Parking||Accessible Parking||Motorcycle Parking||Service Vehicle Parking||Reserved Parking,39.17228236,-86.52287233,249
Lot 250,Permits:||EMP Parking||Accessible Parking||Service Vehicle Parking||Reserved Parking,39.17221306,-86.52176994,250
Lot 255,Permits:||EMP Parking||Electric Veh Parking||Visitor Pay Parking||Accessible Parking||Service Vehicle Parking,39.17300802,-86.51977418,255
Lot 256,Permits:||EMP Parking (24 Hr)||Accessible Parking||Service Vehicle Parking||Reserved Parking,39.17317941,-86.51790652,256
Lot 257,Permits:||Reserved Parking,39.17244468,-86.51703882,257
Lot 258,Permits:||EMP Parking||EMS Parking||Metered Parking||Service Vehicle Parking,39.17352954,-86.51588525,258
Lot 258,Permits:||EMP Parking||EMS Parking||Metered Parking||Service Vehicle Parking,39.17366667,-86.51627312,258
Lot 259,Permits:||Reserved Parking||Accessible Parking,39.17260973,-86.51639455,259
Lot 260,Permits:||EMP Parking||Accessible Parking||Reserved Parking,39.17253535,-86.51586958,260
Lot 302,Permits:||EMS Parking||Accessible Parking,39.17103362,-86.53572535,302
Lot 310,Permits:||EMP Parking||EMS Parking||Accessible Parking||Metered Parking,39.17098417,-86.52764697,310
Lot 312,Permits:||Visitor Parking||EMP Parking||Accessible Parking||Visitor Parking,39.17007322,-86.52657723,312
Lots 316 / 318 / 320 / 322 / 324 / 326,Permits:||EMS Parking||EMP Parking||Accessible Parking,39.17099979,-86.52514019,316
Lot 330,Permits:||EMP Parking||Reserved Parking,39.16991181,-86.52502853,330
Lot 342,Permits:||EMP Parking||Reserved Parking,39.16902041,-86.52541715,342
Lot 343,Permits:||EMS Parking||Accessible Parking,39.16892681,-86.52502068,343
Lot 344,Permits:||EMP Parking||Accessible Parking,39.16892015,-86.52417696,344
Lot 346,Permits:||Reserved Parking,39.16903447,-86.52387171,346
Lot 350,Permits:||Visitor Pay Parking||Accessible Pay Parking,39.16899946,-86.52294419,350
Lot 354,Permits:||EMP Parking (24 Hr)||EMP Parking||Reserved Parking||Accessible Parking,39.16897724,-86.52240813,354
Lot 355,Permits:||Accessible Parking||Service Vehicle Parking,39.16883821,-86.52123011,355
Lot 356,Permits:||Accessible Parking||Motorcycle Parking||Service Vehicle Parking,39.16967219,-86.52033232,356
Lot 358,Permits:||Accessible Parking||Service Vehicle Parking,39.1696025,-86.5193646,358
Lot 364,Permits:||EMP Parking||Accessible Parking||Motorcycle Parking||Metered Parking||Service Vehicle Parking,39.16952868,-86.51669083,364
Lot 366,Permits:||EMP Parking||Accessible Parking,39.16815016,-86.51790642,366
Lot 368,Permits:||Accessible Parking,39.16821007,-86.51924433,368
Lot 400,Permits:||EMP Parking||Visitor Pay Parking||Accessible Parking,39.167808,-86.528847,400
Lot 402,Permits:||EMS Parking||Motorcycle Parking||Reserved Parking,39.16779585,-86.52771842,402
Lot 403,Permits:||Accessible Parking||Reserved Parking,39.16796149,-86.5272003,403
Lot 404,Permits:||EMS Parking||Accessible Parking||Service Vehicle Parking,39.16725839,-86.52758932,404
Lot 406,Permits:||Reserved Parking,39.16625104,-86.52780242,406
Lot 409,Permits:||EMP Parking||EMS Parking||Accessible Parking||Motorcycle Parking||Service Vehicle Parking||Reserved Parking,39.16473448,-86.52771405,409
Lot 412,Permits:||EMS Parking||Accessible Parking||Motorcycle Parking,39.16582902,-86.52768499,412
Lot 414,Permits:||EMP Parking||EMS Parking||Accessible Parking||Service Vehicle Parking,39.1652336,-86.52744702,414
Lot 418,Permits:||Accessible Parking,39.16721732,-86.52509611,418
Lot 420,Permits:||Reserved Parking,39.16570613,-86.5265649,420
Lot 422,Permits:||Accessible Parking||Service Vehicle Parking,39.16486145,-86.52554965,422
Lot 423,Permits:||Accessible Parking||Real Estate Office Parking,39.16362689,-86.52749312,423
Lot 424,Permits:||EMP Parking||Electric Veh Parking||Visitor Pay Parking||Accessible Parking||Service Vehicle Parking,39.163537,-86.526325,424
Lot 426,Permits:||EMS Parking||Accessible Parking||Reserved Parking,39.16338755,-86.52486532,426
Lot 428,Permits:||EMP Parking||Service Vehicle Parking,39.16362745,-86.52325105,428
Lot 434,Permits:||Accessible Parking||Reserved Parking,39.16271822,-86.52331482,434
Lot 436,Permits:||EMP Parking,39.16271477,-86.52216614,436
Lot 438,Permits:||Reserved Parking,39.16271472,-86.52176681,438
Lot 438,Permits:||Reserved Parking,39.16272482,-86.52203376,438
Lot 440,Permits:||EMS Parking||Accessible Parking,39.1637762,-86.52186363,440
Lot 442,Permits:||EMP Parking||Motorcycle Parking||Reserved Parking||Visitor Parking||Service Vehicle Parking||Electric Veh Parking,39.16354,-86.522394,442
Lot 450,Permits:||Accessible Parking||Reserved Parking,39.16672851,-86.52308223,450
Lot 451,Permits:||Service Vehicle Parking||Reserved Parking,39.16594957,-86.52323113,451
Lot 452,Permits:||Accessible Parking||Accessible Metered Parking||Service Vehicle Parking||Reserved Parking,39.16700471,-86.52325207,452
Lot 453,Permits:||Service Vehicle Parking,39.16806631,-86.52338602,453
Lot 455,Permits:||Reserved Parking,39.16805644,-86.52240004,455
Lot 456,Permits:||Visitor Pay Parking||Accessible Parking,39.16784741,-86.52158609,456
Lot 466,Permits:||EMP Parking||Accessible Parking||Motorcycle Parking||Service Vehicle Parking,39.16457692,-86.51968713,466
Lot 468,Permits:||EMP Parking||Accessible Parking||Reserved Parking,39.16403019,-86.51971815,468
Lot 468,Permits:||EMP Parking||Accessible Parking||Reserved Parking,39.16379151,-86.52001595,468
Lot 469,Permits:||Accessible Parking||EM Retired Parking,39.16356998,-86.52088668,469
Lot 470,Permits:||EMP Parking||EMS Parking||Accessible Parking||Accessible Metered Parking||Motorcycle Parking,39.16345772,-86.51964826,470
Lot 474,Permits:||EMP Parking,39.16285259,-86.51839535,474
Lot 475,Permits:||Service Vehicle Parking,39.16349021,-86.51883338,475
Lot 476,Permits:||EMP Parking,39.16347327,-86.51855632,476
Lot 477,||Metered Parking,39.16395293,-86.51721247,477
Lot 478,Permits:||EMP Parking||Accessible Parking||Accessible Metered Parking||Service Vehicle Parking||Reserved Parking,39.16479315,-86.51888877,478
Lot 479,Permits:||EMS Parking,39.16364414,-86.51671656,479
Lot 480,Permits:||Accessible Parking||Reserved Parking||Service Vehicle Parking,39.16557897,-86.51792939,480
Lot 482,Permits:||EMP Parking||Accessible Parking||Reserved Parking,39.16563919,-86.51933109,482
Lot 484,Permits:||EMP Parking||Accessible Parking,39.16583274,-86.51900872,484
Lot 488,Permits:||EMP Parking||EMS Parking||Accessible Parking||Motorcycle Parking||Service Vehicle Parking,39.16722661,-86.51717889,488
Lot 500,Permits:||Campus Housing Parking  - Zone 5||Accessible Parking||Accessible Metered Parking||Motorcycle Parking,39.17077329,-86.51539921,500
Lot 504,Permits:||Service Vehicle Parking,39.17010864,-86.51400932,504
Lot 508,Permits:||Campus Housing Parking - Zone 5||Accessible Parking||Accessible Metered Parking||Service Vehicle Parking||Reserved Parking,39.16937319,-86.51241778,508
Lot 510,Permits:||Accessible Parking,39.17088746,-86.51087889,510
Lot 512,Permits:||Accessible Parking||Accessible Metered Parking,39.17135898,-86.50899096,512
Lot 513,Permits:||Accessible Parking||Reserved Parking,39.17069119,-86.5081628,513
Lot 514,Permits:||EMP Parking||EMS Parking||Campus Housing Parking - Zone 5||Motorcycle Parking,39.17039859,-86.50749764,514
Lot 515,Permits:||EMP Parking||EMS Parking||Campus Housing Parking - Zone 5||Accessible Parking,39.16992166,-86.50852915,515
Lot 517,Permits:||EMP Parking||EMS Parking||Accessible Parking||Service Vehicle Parking||Reserved Parking||Visitor Parking,39.16922868,-86.50803648,517
Lot 518,Permits:||EMP Parking||EMS Parking||Accessible Parking||Motorcycle Parking||Service Vehicle Parking,39.16849579,-86.5087267,518
Lot 520,Permits:||Campus Housing Parking - Zone 1||Accessible Parking||Reserved Parking,39.16823502,-86.51105307,520
Lot 520,Permits:||Campus Housing Parking - Zone 1||Campus Housing Parking - Zone 5||Accessible Parking||EMP Parking||Reserved Parking,39.1687883,-86.5143488,520
Lot 522,Permits:||EMP Parking||Accessible Parking||Reserved Parking,39.1687092,-86.5154284,522
Lot 524,Permits:||EMP Parking||EMS Parking||Accessible Parking||Service Vehicle Parking,39.16838049,-86.51561134,524
Lot 525,Permits:||EMS Parking,39.16802738,-86.51565563,525
Lot 529,Permits:||Electric Veh Parking||Visitor Pay Parking (Upper Level Only)||EMS Parking (Upper Level only),39.16741081,-86.51495738,529
Lot 530,Permits:||EMP Parking (24 Hr)||Reserved Parking,39.16677318,-86.51561038,530
Lot 532,Permits:||EMP Parking||EMS Parking||Accessible Parking,39.16649995,-86.51490483,532
Lot 534,Permits:||Campus Housing Parking - Zone 1||Accessible Parking||Reserved Parking,39.16641544,-86.51609502,534
Lot 536,Permits:||EMS Parking,39.16586213,-86.51609562,536
Lot 538,Permits:||EMS Parking||Accessible Parking||Metered Parking||Service Vehicle Parking,39.16558658,-86.51451245,538
Lot 538,Permits:||EMS Parking||Accessible Parking||Metered Parking||Service Vehicle Parking,39.16558934,-86.51521929,538
Lot 540,Permits:||EMS Parking||Campus Housing Parking - Zone 1 & 2||Accessible Parking,39.16541657,-86.51466847,540
Lot 540,Permits:||EMS Parking||Campus Housing Parking - Zone 1 & 2||Accessible Parking,39.16545341,-86.5156802,540
Lot 544,Permits:||EMP Parking||Accessible Parking||Service Vehicle Parking||Reserved Parking,39.16520076,-86.51586799,544
Lot 547,Permits:||EMP Parking||EMS Parking||Accessible Parking||Reserved Parking,39.16345466,-86.51478977,547
Lot 548,Permits:||Campus Housing Parking - Zone 2||Accessible Parking,39.16479647,-86.51387869,548
Lot 550,Permits:||EMS Parking||Campus Housing Parking - Zone 1& 2||Accessible Parking,39.16479659,-86.51360402,550
Lot 552,Permits:||Accessible Parking||Metered Parking,39.16453872,-86.51245601,552
Lot 554,Permits:||EMP Parking||EMS Parking||Campus Housing Parking - Zone 1 & 2||Accessible Parking||Motorcycle Parking,39.16479553,-86.51132253,554
Lot 556,Permits:||Accessible Parking||Metered Parking,39.16687206,-86.51167885,556
Lot 562,Permits:||EMP Parking||EMS Parking||Campus Housing Parking - Zone 1 & 2||Accessible Parking||Accessible Metered Parking||Motorcycle Parking,39.16601986,-86.50972642,562
Lot 566,Permits:||EMS Parking||Motorcycle Parking,39.16734333,-86.50805204,566
Lot 569,Permits:||EMS Parking||Accessible Parking||Service Vehicle Parking,39.171269,-86.50652,569
Lot 640,Permits:||Reserved Parking,39.1620453,-86.53072949,640
Lot 650,Permits:||EMS Parking||EMP Parking||Accessible Parking||Student Parking,39.16128757,-86.5038675,650
