,CLM_CLM_DESCRIPTION,CON_CON_GPS_LATITUDE,CON_CON_GPS_LONGITUDE
0,IN-Vermont St East,39.776012600,-86.167387000
1,BL-202 700 N Indiana,39.172837900,-86.526050000
2,BL-554 Forest East,39.164437400,-86.511130000
3,BL-520 E 7th St,39.168528800,-86.512106000
4,BL-216 Briscoe West,39.178039600,-86.520738000
5,BL-515 Eigenmann South,39.170020500,-86.508986000
6,BL-256 Business/SPEA,39.173170000,-86.517481000
7,BL-538 Read South Circle,39.165568600,-86.514509000
9,BL-226 13th & Fee Lot,0.000000000,0.000000000
10,BL-230 Foster North,39.175825500,-86.516587000
11,BL-550 Forest West,39.165110700,-86.513590000
14,BL-207 12th St Lot,39.174559100,-86.524335000
15,BL-148 10th St at Sunrise,39.172088900,-86.513557000
16,BL-400 Poplars Garage,39.167776700,-86.528656000
17,BL-470 Music Practice,39.163498000,-86.519371000
19,BL-250 Geology,39.172372500,-86.521750000
20,BL-529 East Parking Garage-Lo,39.167205800,-86.515353000
21,BL-536 Read-SW,39.165959800,-86.516096000
22,BL-404 Von Lee-Kirkwood/Indiana,39.167302400,-86.527575000
45,BL-364 Wells Library/GISB,39.169428800,-86.516599000
47,BL-354 SPH West - Garrett FH,39.168688500,-86.522320000
48,BL-412 4th & Dunn,39.165862400,-86.527630000
49,BL-302 500 N College Wood House,\N,\N
54,BL-426 Atwater Lot @ Fess St,39.163426400,-86.524772000
55,BL-322 515 N Park-Telecomm,39.171223400,-86.525161000
63,BL-231 Foster East,39.174284400,-86.516988000
66,BL-528 East Parking Garage-Up,39.167316600,-86.516122000
67,BL-156 Tulip Tree,39.173827100,-86.504544000
72,BL-109 Blue Lot West-Section D/E,39.179478300,-86.522441000
75,BL-169 Smith Research,39.173124300,-86.499441000
76,BL-168 Stone Belt,39.172190700,-86.499104000
83,BL-158 RAHC - Health Sciences,39.178538600,-86.504572000
86,BL-440 918 E 3rd-Pike,39.163948200,-86.521915000
87,BL-258 Law Ln - Fee to Eagleson,39.173635500,-86.517054000
92,BL-478 Music Circle & Drives,39.164739600,-86.518901000
95,BL-146 Health Center-10&Eagleson,39.172704500,-86.515145000
102,BL-100 White Lot West,39.181909800,-86.526999000
106,BL-482 Morrison Hall,39.000000000,-87.000000000
109,BL-514 Eigenmann East,39.000000000,-87.000000000
112,BL-414 Law Lot,39.000000000,-87.000000000
114,BL-255 Fee Lane Garage,39.000000000,-87.000000000
117,BL-458 Ballantine Garage-Upper,39.000000000,-87.000000000
128,BL-220 McNutt West,39.000000000,-87.000000000
130,BL-455 IMU Circle,\N,\N
136,BL-534 Read-NW,39.000000000,-87.000000000
145,BL-540 Jones Ave,39.000000000,-87.000000000
153,BL-232 Foster West,39.000000000,-87.000000000
155,BL-562 Wilkie,39.000000000,-87.000000000
162,BL-547 Admissions Administration,39.000000000,-87.000000000
164,IN-Hine and Univ Tower Circle,40.000000000,-86.000000000
170,BL-249 901 E 10th S/Inform,\N,\N
174,BL-488 MAC,39.000000000,-87.000000000
175,BL-430 Optometry Lot-801 Atwater,39.000000000,-87.000000000
177,BL-258 Law Ln-Fee Ln to Jor,39.000000000,-87.000000000
178,BL-146 Health Center,39.000000000,-87.000000000
190,BL-110 Blue Lot East (Section F),\N,\N
193,BL-152 Campus View,39.000000000,-87.000000000
195,BL-106 White Lot South,39.000000000,-87.000000000
212,BL-525 300 N Jordan-South,39.000000000,-87.000000000
214,BL-504 Wright East/Campbell Dr,39.000000000,-87.000000000
215,BL-442 Atwater Parking Garage,\N,\N
225,BL-469 1015 Atwater,39.000000000,-87.000000000
239,BL-342 703/705 E 7th St,\N,\N
249,BL-506 Teter Circle,39.000000000,-87.000000000
253,BL-360 Radio & TV North Dr,39.000000000,-87.000000000
256,BL-402 6th & Dunn,39.000000000,-87.000000000
273,BL-484 President Lot,39.000000000,-87.000000000
274,BL-406 510 E. Kirkwood,39.000000000,-87.000000000
288,BL-366 Auditorium,39.000000000,-87.000000000
298,BL-132 Lingelbach East,39.000000000,-87.000000000
301,BL-605 In Roadway/Drive,\N,\N
309,BL-476 1215/1217 Atwater,39.000000000,-87.000000000
320,BL-368 Showalter Fountain,\N,\N
330,BL-240 1000 Block Cottage Grove,39.000000000,-87.000000000
334,BL-556 Education,39.000000000,-87.000000000
335,BL-350 IMU Pay Lot #2,39.000000000,-87.000000000
356,BL-452 Owen Hall,39.000000000,-87.000000000
359,BL-500 Wright West,39.000000000,-87.000000000
383,BL-144 Law Ln & Jordan Ave,39.000000000,-87.000000000
407,BL-358 Fine Arts Museum,39.000000000,-87.000000000
408,BL-524 300 N Jordan-North,39.000000000,-87.000000000
449,BL-142 SRSC Dock,\N,\N
467,BL-362 Radio & TV Circle,39.000000000,-87.000000000
485,BL-125 N Jordan Extension,0.000000000,0.000000000
491,BL-222 McNutt East Dr,0.000000000,0.000000000
494,BL-228 Sembower Field West,0.000000000,0.000000000
497,BL-130 Recreation Driving Range ,39.000000000,-87.000000000
503,BL-127 N Jordan 10th-17th,39.000000000,-87.000000000
505,BL-109 Blue Lot West (Section E),39.000000000,-87.000000000
529,BL-133 Linglebach Ln,39.000000000,-87.000000000
532,BL-104 Orange Lot,0.000000000,0.000000000
539,BL-608 7th Street Traffic Booth,39.171306500,-86.520022000
542,BL-508 Sunrise Ave,0.000000000,0.000000000
543,BL-136 Union Ct,39.000000000,-87.000000000
551,BL-424 Henderson Parking Garage,\N,\N
554,BL-560 Wilkie Circles,0.000000000,0.000000000
558,BL-601 IU Rental Property,39.171690900,-86.511363000
563,BL-516 Union St,0.000000000,0.000000000
576,BL-552 Forest Circle-South,39.164808000,-86.512708000
587,BL-227 17th St lot,39.000000000,-87.000000000
601,BL-480 Simon Music Building,0.000000000,0.000000000
610,BL-238 Forrest Ave Garage-Luddy,39.000000000,-87.000000000
625,BL-451 Chemistry Dock,0.000000000,0.000000000
641,BL-603 Sidewalk,39.165803300,-86.526506000
643,BL-218 Briscoe East,39.000000000,-87.000000000
652,BL-525 300 N Eagleson-South,0.000000000,0.000000000
664,BL-434 Optometry Borish Center,39.000000000,-87.000000000
708,BL-178 2901 E Discovery Pkwy-SB,0.000000000,0.000000000
736,BL-PKO Parking Office,\N,\N
744,BL-220 Walnut Grove Ctr/McNutt W,39.000000000,-87.000000000
758,BL-127 N Eagleson 10th-17th,39.000000000,-87.000000000
785,BL-548 University Apts-East,39.000000000,-87.000000000
831,BL-102 Purple Lot,39.000000000,-87.000000000
859,BL-466 Memorial Hall,39.000000000,-87.000000000
883,BL-204 800 N Indiana,\N,\N
887,BL-462 Goodbody Hall-West,\N,\N
921,BL-246 Walnut Grove Lot,39.000000000,-87.000000000
922,BL-134 Union St - 1100 Block,39.000000000,-87.000000000
967,BL-459 Ballantine Garage-Lower,39.000000000,-87.000000000
968,BL-355 SPH South - Garrett FH,39.000000000,-87.000000000
1019,BL-128 Redbud,39.000000000,-87.000000000
1023,BL-428 814 E 3rd-ROTC,39.000000000,-87.000000000
1063,BL-458 Ballantine Hall,0.000000000,0.000000000
1198,BL-FAO Facilities ,\N,\N
1272,BL-510 Union St Center,\N,\N
1296,BL-229 Sembower Field East,\N,\N
1298,BL-174 2850 E Discovery Pkwy-ALF,\N,\N
1303,BL-112 Assembly Hall North,\N,\N
1317,BL-607 NRLT Permits,\N,\N
1321,BL-304 10th & Morton-Press,\N,\N
1327,BL-344 Hon College-811 E 7th,\N,\N
1330,BL-257 1319 E 10th,\N,\N
1362,BL-310 McCalla,\N,\N
1373,BL-166 CIB,\N,\N
1376,BL-416 Franklin Hall,\N,\N
1385,BL-422 Swain Hall,\N,\N
1454,BL-480 Speech & Hearing Center,0.000000000,0.000000000
1531,BL-454 IMU S 700-1000 E Kirkwood,39.000000000,-87.000000000
1537,BL-569 2222 E 10th St Camp Div,39.000000000,-87.000000000
1565,BL-356 SPH East - Garrett FH,39.000000000,-87.000000000
1566,BL-409 509 E 3rd-Eval Center,39.000000000,-87.000000000
1571,BL-532 Read North Circle,39.000000000,-87.000000000
1599,BL-160 Data Center/UITS,39.000000000,-87.000000000
1646,BL-450 Wylie Hall,39.000000000,-87.000000000
1851,BL-403 201 N Indiana,39.000000000,-87.000000000
1884,BL-512 Eigenmann Circle,39.000000000,-87.000000000
1968,BL-517 408 N Union St,\N,\N
1982,BL-164 CIB North,\N,\N
2012,BL-242 Power Plant,\N,\N
2015,BL-238 1025 E 11th St,\N,\N
2077,BL-170 3050 E Discovery Pkwy-WH,\N,\N
2100,BL-126 1630 E 17th St,\N,\N
2110,BL-513 Eigenmann Dock,\N,\N
2158,BL-453 IMU Dock/Ernie Pyle,\N,\N
2206,BL-327 Collins LLC & Dock,\N,\N
2315,BL-502 324 N Jordan,39.000000000,-87.000000000
2324,BL-260 625 N Jordan,39.000000000,-87.000000000
2334,BL-235 819 N Forest,39.000000000,-87.000000000
2420,BL-214 Devault Alumni,39.000000000,-87.000000000
2454,BL-551 Forest North-Dock,39.000000000,-87.000000000
2635,BL-544 Jacob MS Studio Bldg,39.000000000,-87.000000000
2659,BL-436 914 E Atwater,0.000000000,0.000000000
2796,BL-138 Rowe,39.000000000,-87.000000000
3093,BL-338 815/825 E 8th WIUS,\N,\N
3280,BL-162 IIDC,39.000000000,-86.000000000
3317,BL-241 600 - 700 Walnut Grove ,39.000000000,-87.000000000
3891,BL-324 513 N Park,\N,\N
3910,BL-312 Mathers Museum,\N,\N
3950,BL-418 Student Bldg/Max,\N,\N
4365,BL-200 611 N Fess,39.000000000,-87.000000000
4911,BL-522 316 N Jordan-Learning,0.000000000,0.000000000
4925,BL-423 324 S Hend-Real Estate,39.000000000,-87.000000000
4929,BL-105 Memorial Stadium Concour,\N,\N
5047,BL-558 Education Circle,39.000000000,-87.000000000
5098,BL-468 1022 E 3rd,39.000000000,-87.000000000
6078,BL-326 501/505 N Park,\N,\N
6176,BL-154 Hilltop,\N,\N
6250,BL-475 1211 Atwater,\N,\N
6692,BL-140 SRSC,\N,\N
6868,BL-420 Bryan Hall,\N,\N
6876,BL-474 1220 Atwater,\N,\N
7277,BL-206 802 E 13th,39.000000000,-87.000000000
7657,BL-123 1469 E 17th-IUPD/Found,\N,\N
7829,BL-116 MESH,\N,\N
7975,BL-208 920 E 13th,\N,\N
8122,BL-460 Goodbody Hall-North,\N,\N
8470,BL-336 809 E 8th,\N,\N
8943,BL-464 Biology Building -Dock,39.000000000,-87.000000000
9004,BL-559 Rose Ave,39.000000000,-87.000000000
9073,BL-234 822 E 12th St,39.000000000,-87.000000000
9460,BL-110 Blue Lot East-Section F,39.178811200,-86.521285000
9556,BL-108 Yellow Lot,\N,\N
9680,BL-153 1901 E 10th St,0.000000000,0.000000000
9685,BL-201 519 E. 10th,39.000000000,-87.000000000
9929,BL-114 Green Lot,39.182057400,-86.521285000
10108,BL-316 510/512 N Fess,39.000000000,-87.000000000
11272,BL-524 300 N Eagleson-North,0.000000000,0.000000000
11305,BL-210 1010 E 13th,0.000000000,0.000000000
12064,BL-438 920 E Atwater,39.000000000,-87.000000000
12187,IN-Wilson St Garage,\N,\N
12287,BL-530 111 S Jordan,39.000000000,-87.000000000
12494,BL-212 901 E 13th,\N,\N
12686,IN-Natatorium Dock,40.000000000,-86.000000000
13654,BL-150 Campus View W & Circle,\N,\N
14129,BL-456 IMU-Pay Lot #1,\N,\N
14337,IN-Vermont St,\N,\N
15889,BL-606 On Landscape,\N,\N
18717,BL-259 1331 & 1357 E 10th,39.000000000,-87.000000000
19266,BL-306 600 N Rogers-Food Stor,\N,\N
19882,BL-236 915 E 11th,39.000000000,-87.000000000
21257,BL-444 S Woodlawn/Simon H Access,\N,\N
23834,BL-602 On Street Time Zone,\N,\N
24165,BL-518 306 N. Union/Classrm Tech,\N,\N
24601,BL-334 803 E 8th,\N,\N
26281,BL-432 410 S Park,\N,\N
26897,IN-SPEA Dr,40.000000000,-86.000000000
30710,BL-343 715 E 7th St-Latino Aff,\N,\N
31861,EA-Whitewater,40.000000000,-85.000000000
33693,BL-604 Bus Stop,39.000000000,-87.000000000
35121,BL-330 405/407 N Park,\N,\N
40072,IN-Barnhill Garage,40.000000000,-86.000000000
48029,BL-120 Track & Field,\N,\N
48662,IN-University Outpatient Gar,\N,\N
50297,BL-248 Monroe Hall,\N,\N
51244,BL-318 506/508 N Fess,\N,\N
55582,BL-566 112 N Bryan/Raintree Hou,39.000000000,-87.000000000
56720,BL-115 1209 Matlock Rd,\N,\N
57338,BL-341 441 N. Woodlawn,\N,\N
58948,IN-Lot 65,\N,\N
60051,BL-308 11th&Rogers-Printing Ser,\N,\N
61502,KO-Kelley Center Parking Lot,\N,\N
61790,BL-111 Outdoor Pool,39.000000000,-87.000000000
63836,IN-Riley Outpatient Garage,\N,\N
64509,BL-346 321 N Woodlawn,39.000000000,-87.000000000
69629,BL-486 Bryan House,\N,\N
77491,IN-Lot 408,40.000000000,-86.000000000
79725,IN-Lot 25,40.000000000,-86.000000000
83205,BL-103 Mellencamp Pavilion,39.000000000,-87.000000000
83494,IN-Lot 73,40.000000000,-86.000000000
84817,IN-Lot 410,40.000000000,-86.000000000
87111,IN-North St Garage,\N,\N
90928,IN-Lot 103,40.000000000,-86.000000000
104973,BL-125 David Baker Avenue,0.000000000,0.000000000
105045,IN-Lot 66,\N,\N
113164,IN-Lot 34,39.775323100,-86.179001000
117978,IN-Lot 81,40.000000000,-86.000000000
121875,BL-522 316 N Eagleson,0.000000000,0.000000000
135416,IU-PKO Parking Office,\N,\N
136163,BL-144 Law Ln & Eagleson Ave,0.000000000,0.000000000
138156,BL-415 Sample Gate,39.000000000,-87.000000000
138629,BL-650 EHS,39.000000000,-87.000000000
142551,IN-Lot 10,40.000000000,-86.000000000
143059,BL-408 502 E 4th,39.000000000,-87.000000000
158673,BL-260 625 N Eagleson-Career Dev,39.000000000,-87.000000000
160589,BL-570 2400 E 10th St,39.000000000,-86.000000000
160668,BL-502 324 N Eagleson,0.000000000,0.000000000
161068,EA-Tom Raper,40.000000000,-85.000000000
167791,IN-Lot 92,40.000000000,-86.000000000
172847,IN-Lot 33,40.000000000,-86.000000000
186770,SB-Campus Housing,\N,\N
186771,IN-Vermont St West,\N,\N
186971,IN-North Hall Circle,40.000000000,-86.000000000
192572,BL-477 1306 E 3rd St,39.163845100,-86.517157000
194662,IN-Lot 80,39.772536400,-86.175343000
200458,BL-303 420 N Walnut St,0.000000000,0.000000000
202954,BL-117 Kaufman & Mohr Fields,0.000000000,0.000000000
209852,IN-Lot 54,39.773820700,-86.179661000
236660,SB-Elkhart Campus,\N,\N
254580,BL-479 322 S Eagleson Ave,39.163480200,-86.516712000
260350,BL-367 Theater and Drama Cir,39.168780800,-86.516575000
